entity_type	entity_text	ground_truth_answer	content_with_all_columns
Specie	caecidae	1	"Caecum cooperi, common name the Cooper's Atlantic caecum, is a species of minute sea snail, a marine gastropod mollusk or micromollusk in the family Caecidae."
Specie	caecum cooperi	1	"Caecum cooperi, common name the Cooper's Atlantic caecum, is a species of minute sea snail, a marine gastropod mollusk or micromollusk in the family Caecidae."
Film	reality tv	0	"Mary Mary is an American reality television series that aired on WE tv from March 29, 2012, to November 2, 2017. The series follows the daily lives of sisters and musicians, Erica and Tina Campbell, as they balance their households and careers."
Film	mary mary	0	"Mary Mary is an American reality television series that aired on WE tv from March 29, 2012, to November 2, 2017. The series follows the daily lives of sisters and musicians, Erica and Tina Campbell, as they balance their households and careers."
Educational_institution	"london, ontario"	0	"The London Transit Commission (LTC) is responsible for the operation of the public transit system on behalf of the City of London, Ontario, Canada. It offers the typical conventional bus service, and a para-transit service, for those unable to use the conventional service. In 2014, annual ridership totaled 24.1 million. The LTC has 27 regular bus routes, five express routes, three school-year-only routes and six community bus routes."
Educational_institution	london transit commission	0	"The London Transit Commission (LTC) is responsible for the operation of the public transit system on behalf of the City of London, Ontario, Canada. It offers the typical conventional bus service, and a para-transit service, for those unable to use the conventional service. In 2014, annual ridership totaled 24.1 million. The LTC has 27 regular bus routes, five express routes, three school-year-only routes and six community bus routes."
Scientist	ben franklin	0	"Benjamin Franklin High School was named a National Blue Ribbon School by the U.S. Department of Education in 1989, 2003, 2009, and 2015. It has been ranked by Newsweek and U.S. News & World Report as one of the top 50 public schools in the U.S. with regards to student test scores and advanced placement programs. Ben Franklin was listed as one of the elite public schools in the country by Newsweek in 2006 and 2007. In 2008 and 2009, Franklin was no longer listed as a public elite and instead ranked numbers 35 and 52, respectively, on the complete Newsweek lists of America's Top Public High Schools. Ben Franklin was also ranked 16 in the nation by U.S. News & World Report on its 2009 America's Best High Schools list and was one of its featured stories. Additionally, 2 art and 12 academic Presidential Scholars have been selected from the school as of 2007. The class of 2014 produced twenty-five National Merit Semi-finalists, fifteen National Achievement Semi-Finalists, three National Hispanic Scholars and fifteen National Merit Commended Scholars. 17 Benjamin Franklin seniors named Finalists in the 2014 Competition for National Merit Scholarships."
Scientist	benjamin franklin high school	0	"Benjamin Franklin High School was named a National Blue Ribbon School by the U.S. Department of Education in 1989, 2003, 2009, and 2015. It has been ranked by Newsweek and U.S. News & World Report as one of the top 50 public schools in the U.S. with regards to student test scores and advanced placement programs. Ben Franklin was listed as one of the elite public schools in the country by Newsweek in 2006 and 2007. In 2008 and 2009, Franklin was no longer listed as a public elite and instead ranked numbers 35 and 52, respectively, on the complete Newsweek lists of America's Top Public High Schools. Ben Franklin was also ranked 16 in the nation by U.S. News & World Report on its 2009 America's Best High Schools list and was one of its featured stories. Additionally, 2 art and 12 academic Presidential Scholars have been selected from the school as of 2007. The class of 2014 produced twenty-five National Merit Semi-finalists, fifteen National Achievement Semi-Finalists, three National Hispanic Scholars and fifteen National Merit Commended Scholars. 17 Benjamin Franklin seniors named Finalists in the 2014 Competition for National Merit Scholarships."
Sports_team	ottawa curling club	1	"Stuart was born in Ottawa, Ontario, the eldest son of William Stuart and Rachel Hodgson. He had two brothers, Alex and Bruce, and two sisters, Jessie and Lottio. Stuart was involved in sports from an early age. His father had been a good curler and was at once point skip of the Ottawa Curling Club, and both Hod and Bruce played hockey from a young age, often for the same teams. Stuart also played rugby and football, and played for the local professional football team, the Ottawa Rough Riders."
Sports_team	william hodgson stuart	0	"Stuart was born in Ottawa, Ontario, the eldest son of William Stuart and Rachel Hodgson. He had two brothers, Alex and Bruce, and two sisters, Jessie and Lottio. Stuart was involved in sports from an early age. His father had been a good curler and was at once point skip of the Ottawa Curling Club, and both Hod and Bruce played hockey from a young age, often for the same teams. Stuart also played rugby and football, and played for the local professional football team, the Ottawa Rough Riders."
Actor	cécile cassel	1	"Monique (Cécile Cassel), a friend of Elisa's, is engaged to Paolo (Fabio De Luigi), a surgeon, who is threatened by the policeman Davide (Alessandro Gassman), former boyfriend of Monique. In the end, Monique leaves Paolo, who finds himself having to operate the same Davide, wounded in the stomach with a bullet. Although Paolo has repeatedly threatened, he will perform his mission and they become friends."
Actor	fabio de luigi	1	"Monique (Cécile Cassel), a friend of Elisa's, is engaged to Paolo (Fabio De Luigi), a surgeon, who is threatened by the policeman Davide (Alessandro Gassman), former boyfriend of Monique. In the end, Monique leaves Paolo, who finds himself having to operate the same Davide, wounded in the stomach with a bullet. Although Paolo has repeatedly threatened, he will perform his mission and they become friends."
Building	eton college	0	"The son of Edith Marione (née Browne) and John Thomas Woolrych Perowne who married in 1896, John Victor Thomas Woolrych Tait Perowne was educated at Eton College and Corpus Christi College, Cambridge. He served in the Scots Guards 1916-18 with the rank of lieutenant, and contributed a poem A Dirge to The Muse in Arms, an anthology of British war poetry."
Building	"corpus christi college, cambridge"	0	"The son of Edith Marione (née Browne) and John Thomas Woolrych Perowne who married in 1896, John Victor Thomas Woolrych Tait Perowne was educated at Eton College and Corpus Christi College, Cambridge. He served in the Scots Guards 1916-18 with the rank of lieutenant, and contributed a poem A Dirge to The Muse in Arms, an anthology of British war poetry."
Animal	war cloud	1	"The 43rd running of the Preakness Stakes was run at a mile and one eighth on dirt at Pimlico Race Course on an unusual day of the week, Wednesday, May 15, 1918. The race was divided into two divisions, with Jack Hare Jr. running in the second. The first division was won by War Cloud. When the horses started, Jack Hare Jr., the 9/10 favorite, rushed straight to lead drew away by two lengths passing the stands for the first time. Rounding the club house turn he widened his lead to two and a half finishing the first half mile in :47-3/5. He continued to set a fast pace on the front end setting fractions of 1:12-3/5 and 1:39-3/5 for 3/4 and a mile. Leading comfortably by three lengths at the head of the stretch his jockey Charles Peak eased him up near the end of the race and still won by more than two lengths. The order of finish remained almost unchanged throughout the race with The Porter finishing second six lengths ahead of Kate Brite and Trompe La Mort for third and fourth. The race appears to have been run as a handicap race, with Jack Hare Jr. carrying eight pounds more than the runner-up. The winning time of 1:53.4 was 0.2 seconds faster than the first division."
Animal	preakness stakes	0	"The 43rd running of the Preakness Stakes was run at a mile and one eighth on dirt at Pimlico Race Course on an unusual day of the week, Wednesday, May 15, 1918. The race was divided into two divisions, with Jack Hare Jr. running in the second. The first division was won by War Cloud. When the horses started, Jack Hare Jr., the 9/10 favorite, rushed straight to lead drew away by two lengths passing the stands for the first time. Rounding the club house turn he widened his lead to two and a half finishing the first half mile in :47-3/5. He continued to set a fast pace on the front end setting fractions of 1:12-3/5 and 1:39-3/5 for 3/4 and a mile. Leading comfortably by three lengths at the head of the stretch his jockey Charles Peak eased him up near the end of the race and still won by more than two lengths. The order of finish remained almost unchanged throughout the race with The Porter finishing second six lengths ahead of Kate Brite and Trompe La Mort for third and fourth. The race appears to have been run as a handicap race, with Jack Hare Jr. carrying eight pounds more than the runner-up. The winning time of 1:53.4 was 0.2 seconds faster than the first division."
Route_of_transportation	east busway	1	"In December 1977 Port Authority unveiled its first dedicated busway, the 4.3-mile South Busway, which combined bus and light rail routes into an efficient and quicker connection between downtown Pittsburgh and the South Hills area. The Martin Luther King Jr. East Busway, which used express routes to connect downtown with nearby east side communities like Swissvale, Wilkinsburg and Homewood followed in February 1983. On Sunday, September 10, 2000 Port Authority opened its West Busway, which provides service from downtown Pittsburgh to Carnegie. In 2003, the East Busway was expanded by a few miles to Swissvale and Rankin."
Route_of_transportation	wilkinsburg	0	"In December 1977 Port Authority unveiled its first dedicated busway, the 4.3-mile South Busway, which combined bus and light rail routes into an efficient and quicker connection between downtown Pittsburgh and the South Hills area. The Martin Luther King Jr. East Busway, which used express routes to connect downtown with nearby east side communities like Swissvale, Wilkinsburg and Homewood followed in February 1983. On Sunday, September 10, 2000 Port Authority opened its West Busway, which provides service from downtown Pittsburgh to Carnegie. In 2003, the East Busway was expanded by a few miles to Swissvale and Rankin."
Musical_work	ldn	1	"In December 2017, a song called Trigger Bang was leaked and featured rapper Giggs. The following day (12 December 2017) the song was released as the album's lead single. The song was praised by critics, who applauded Allen and Giggs chemistry as well as the song's lyrical content. An accompanying music video for Trigger Bang directed by Myles Whittingham was released on 24 January 2018. The video made references to the videos of her previous singles LDN and 22."
Musical_work	giggs	0	"In December 2017, a song called Trigger Bang was leaked and featured rapper Giggs. The following day (12 December 2017) the song was released as the album's lead single. The song was praised by critics, who applauded Allen and Giggs chemistry as well as the song's lyrical content. An accompanying music video for Trigger Bang directed by Myles Whittingham was released on 24 January 2018. The video made references to the videos of her previous singles LDN and 22."
Body_of_water	gulf of maine	1	"Hediste diversicolor is native to the north-east Atlantic. Its range extends from the Baltic Sea and North Sea southwards to the Azores and Mediterranean Sea. It has been introduced to the north-west Atlantic in the areas of Cobscook Bay, the Gulf of Maine and the Gulf of St Lawrence. It is plentiful on beaches of sand, muddy sand and mud, including areas of low salinity, where it lives in a semi-permanent J-shaped or U-shaped burrow and under adjoining stones in the intertidal zone."
Body_of_water	cobscook bay	1	"Hediste diversicolor is native to the north-east Atlantic. Its range extends from the Baltic Sea and North Sea southwards to the Azores and Mediterranean Sea. It has been introduced to the north-west Atlantic in the areas of Cobscook Bay, the Gulf of Maine and the Gulf of St Lawrence. It is plentiful on beaches of sand, muddy sand and mud, including areas of low salinity, where it lives in a semi-permanent J-shaped or U-shaped burrow and under adjoining stones in the intertidal zone."
Olympic_competitor	robert ball	1	Robert Ball (born 26 October 1964) is an Australian judoka. He competed in the men's heavyweight event at the 2000 Summer Olympics.
Olympic_competitor	2000 summer olympics	0	Robert Ball (born 26 October 1964) is an Australian judoka. He competed in the men's heavyweight event at the 2000 Summer Olympics.
Sportsman	lew jenkins	1	"Joyce was 24-1-4 in 1937 to 1939 only losing to Frankie Covelli. He fought Lew Jenkins at the White City Arena in Chicago three times in 1939, battling to a draw in their first bout and winning the next two by split decision."
Sportsman	frankie covelli	1	"Joyce was 24-1-4 in 1937 to 1939 only losing to Frankie Covelli. He fought Lew Jenkins at the White City Arena in Chicago three times in 1939, battling to a draw in their first bout and winning the next two by split decision."
Head_of_state	sihanouk	0	"After 1991 Bour Kry returned regularly to Cambodia to assist in the reconstruction and redevelopment of Buddhist schools and monasteries. The number of Dhammayuttika monasteries has since grown to over 150. The Preah Sihanouk Dhammadhiraj Buddhist Institute was founded in 1995 with the goal of education and professional training for Cambodia's poorest youth, the revitalization of Buddhist teachings, and the introduction of Cambodian youth to Khmer culture and traditions."
Head_of_state	bour kry	0	"After 1991 Bour Kry returned regularly to Cambodia to assist in the reconstruction and redevelopment of Buddhist schools and monasteries. The number of Dhammayuttika monasteries has since grown to over 150. The Preah Sihanouk Dhammadhiraj Buddhist Institute was founded in 1995 with the goal of education and professional training for Cambodia's poorest youth, the revitalization of Buddhist teachings, and the introduction of Cambodian youth to Khmer culture and traditions."
University_or_college	"corpus christi college, cambridge"	1	"The son of Edith Marione (née Browne) and John Thomas Woolrych Perowne who married in 1896, John Victor Thomas Woolrych Tait Perowne was educated at Eton College and Corpus Christi College, Cambridge. He served in the Scots Guards 1916-18 with the rank of lieutenant, and contributed a poem A Dirge to The Muse in Arms, an anthology of British war poetry."
University_or_college	eton college	1	"The son of Edith Marione (née Browne) and John Thomas Woolrych Perowne who married in 1896, John Victor Thomas Woolrych Tait Perowne was educated at Eton College and Corpus Christi College, Cambridge. He served in the Scots Guards 1916-18 with the rank of lieutenant, and contributed a poem A Dirge to The Muse in Arms, an anthology of British war poetry."
Royalty	hecatomnus	1	"At some time after 395 BC Hecatomnus became the first satrap of Caria, which was until then part of other satrapies, usually that of Lydia. The designation of Caria as a separate satrapy was part of a reorganization of Persian power in western Anatolia by Artaxerxes II in the aftermath of Cyrus's revolt. Hecatomnus was the first non-Persian official to be elevated to the position of satrap."
Royalty	artaxerxes ii	1	"At some time after 395 BC Hecatomnus became the first satrap of Caria, which was until then part of other satrapies, usually that of Lydia. The designation of Caria as a separate satrapy was part of a reorganization of Persian power in western Anatolia by Artaxerxes II in the aftermath of Cyrus's revolt. Hecatomnus was the first non-Persian official to be elevated to the position of satrap."
City_in_the_Americas	wilkinsburg	1	"In December 1977 Port Authority unveiled its first dedicated busway, the 4.3-mile South Busway, which combined bus and light rail routes into an efficient and quicker connection between downtown Pittsburgh and the South Hills area. The Martin Luther King Jr. East Busway, which used express routes to connect downtown with nearby east side communities like Swissvale, Wilkinsburg and Homewood followed in February 1983. On Sunday, September 10, 2000 Port Authority opened its West Busway, which provides service from downtown Pittsburgh to Carnegie. In 2003, the East Busway was expanded by a few miles to Swissvale and Rankin."
City_in_the_Americas	east busway	0	"In December 1977 Port Authority unveiled its first dedicated busway, the 4.3-mile South Busway, which combined bus and light rail routes into an efficient and quicker connection between downtown Pittsburgh and the South Hills area. The Martin Luther King Jr. East Busway, which used express routes to connect downtown with nearby east side communities like Swissvale, Wilkinsburg and Homewood followed in February 1983. On Sunday, September 10, 2000 Port Authority opened its West Busway, which provides service from downtown Pittsburgh to Carnegie. In 2003, the East Busway was expanded by a few miles to Swissvale and Rankin."
North_American_writer	richard chamberlain	0	"With the annual Bambi Award Gala, he created the German counterpart to the American Academy Award presentation. His once-a-year special, Die Peter-Alexander-Show, starring Germany's top musical entertainer, Peter Alexander, and, among others, Richard Chamberlain, Joan Collins and Liza Minnelli (ORF) reached cult status in the 1990s. He also conceived Der Goldene Löwe, the German counterpart to the American Emmy"
North_American_writer	joan collins	0	"With the annual Bambi Award Gala, he created the German counterpart to the American Academy Award presentation. His once-a-year special, Die Peter-Alexander-Show, starring Germany's top musical entertainer, Peter Alexander, and, among others, Richard Chamberlain, Joan Collins and Liza Minnelli (ORF) reached cult status in the 1990s. He also conceived Der Goldene Löwe, the German counterpart to the American Emmy"
Island	leyte	1	"Cebuano is spoken in the provinces of Cebu, Bohol, Siquijor, Negros Oriental, northeastern Negros Occidental, (as well as the municipality of Hinoba-an and the cities of Kabankalan and Sipalay to a great extent, alongside Ilonggo), southern Masbate, many portions of Leyte, Biliran, parts of Samar, and large parts of Mindanao, the second largest island of the Philippines. Furthermore, a large portion of the urban population of Zamboanga, Davao, Surigao and Cotabato is Cebuano speaking. Some dialects of Cebuano have different names for the language. Cebuano speakers from Cebu are mainly called Cebuano while those from Bohol are Boholano. Cebuano speakers in Leyte identify their dialect as Kanâ meaning that (Leyte Cebuano or Leyteño). Speakers in Mindanao and Luzon refer to the language simply as Binisaya or Bisaya."
Island	sipalay	0	"Cebuano is spoken in the provinces of Cebu, Bohol, Siquijor, Negros Oriental, northeastern Negros Occidental, (as well as the municipality of Hinoba-an and the cities of Kabankalan and Sipalay to a great extent, alongside Ilonggo), southern Masbate, many portions of Leyte, Biliran, parts of Samar, and large parts of Mindanao, the second largest island of the Philippines. Furthermore, a large portion of the urban population of Zamboanga, Davao, Surigao and Cotabato is Cebuano speaking. Some dialects of Cebuano have different names for the language. Cebuano speakers from Cebu are mainly called Cebuano while those from Bohol are Boholano. Cebuano speakers in Leyte identify their dialect as Kanâ meaning that (Leyte Cebuano or Leyteño). Speakers in Mindanao and Luzon refer to the language simply as Binisaya or Bisaya."
Military_conflict	operation iraqi freedom	1	"2nd Battalion 5th Marines (2/5) is an infantry battalion in the United States Marine Corps consisting of approximately 800 Marines and Sailors. They are based out of Marine Corps Base Camp Pendleton, California and fall under the command of the 5th Marine Regiment and the 1st Marine Division. The battalion has seen combat in World War I, World War II, the Korean War, the Vietnam War and the Gulf War and has deployed many times in support of Operation Iraqi Freedom and the current War on Terror."
Military_conflict	marine corps base camp pendleton	0	"2nd Battalion 5th Marines (2/5) is an infantry battalion in the United States Marine Corps consisting of approximately 800 Marines and Sailors. They are based out of Marine Corps Base Camp Pendleton, California and fall under the command of the 5th Marine Regiment and the 1st Marine Division. The battalion has seen combat in World War I, World War II, the Korean War, the Vietnam War and the Gulf War and has deployed many times in support of Operation Iraqi Freedom and the current War on Terror."
Religious_leader	bour kry	1	"After 1991 Bour Kry returned regularly to Cambodia to assist in the reconstruction and redevelopment of Buddhist schools and monasteries. The number of Dhammayuttika monasteries has since grown to over 150. The Preah Sihanouk Dhammadhiraj Buddhist Institute was founded in 1995 with the goal of education and professional training for Cambodia's poorest youth, the revitalization of Buddhist teachings, and the introduction of Cambodian youth to Khmer culture and traditions."
Religious_leader	sihanouk	1	"After 1991 Bour Kry returned regularly to Cambodia to assist in the reconstruction and redevelopment of Buddhist schools and monasteries. The number of Dhammayuttika monasteries has since grown to over 150. The Preah Sihanouk Dhammadhiraj Buddhist Institute was founded in 1995 with the goal of education and professional training for Cambodia's poorest youth, the revitalization of Buddhist teachings, and the introduction of Cambodian youth to Khmer culture and traditions."
Company_of_Europe	native instruments	1	"Fall 2001: Subatomic Sound System won the Red Bull Vinyl Lab competition in New York City using an early incarnation of Native Instruments Traktor DJ software on a laptop at a time when laptops were not commonly used in musical performance. When judges discovered software had been used to create the mix CD, it sparked a controversy amongst the judges. In the end, judges conceded that there was no valid grounds for disqualifying Subatomic Sound System for using DJ software rather than traditional vinyl and turntables, so they upheld their victory in the competition."
Company_of_Europe	red bull	0	"Fall 2001: Subatomic Sound System won the Red Bull Vinyl Lab competition in New York City using an early incarnation of Native Instruments Traktor DJ software on a laptop at a time when laptops were not commonly used in musical performance. When judges discovered software had been used to create the mix CD, it sparked a controversy amongst the judges. In the end, judges conceded that there was no valid grounds for disqualifying Subatomic Sound System for using DJ software rather than traditional vinyl and turntables, so they upheld their victory in the competition."
Food	beef	1	"The company has received venture funding from GreatPoint Ventures, Kleiner Perkins, Obvious Corporation, Bill Gates, Biz Stone, the Humane Society and Tyson Foods. The company began selling its plant-based chicken products in Whole Foods supermarkets across the US in April 2013. In 2014, it developed a simulated beef product."
Food	tyson foods	0	"The company has received venture funding from GreatPoint Ventures, Kleiner Perkins, Obvious Corporation, Bill Gates, Biz Stone, the Humane Society and Tyson Foods. The company began selling its plant-based chicken products in Whole Foods supermarkets across the US in April 2013. In 2014, it developed a simulated beef product."
Painter	no entities	0	"After studying at the Lycée Bonaparte, he frequented the workshops of Anne-Louis Girodet-Trioson and Antoine-Jean Gros. He installed himself in London in 1822 and returned to France 5 years later. His meetings with Alexandre Dumas, Théophile Gautier, Stendhal, Eugène Sue, Prosper Mérimée, Eugène Scribe, Eugène Delacroix, Louis Boulanger and Honoré de Balzac opened doors to him."
Painter	théophile gautier	0	"After studying at the Lycée Bonaparte, he frequented the workshops of Anne-Louis Girodet-Trioson and Antoine-Jean Gros. He installed himself in London in 1822 and returned to France 5 years later. His meetings with Alexandre Dumas, Théophile Gautier, Stendhal, Eugène Sue, Prosper Mérimée, Eugène Scribe, Eugène Delacroix, Louis Boulanger and Honoré de Balzac opened doors to him."
Port_or_harbour	bordeaux	0	"Jean-Paul Jauffret (born August 22, 1930, in Bordeaux) is a French businessman, politician and tennis player."
Port_or_harbour	jean-paul jauffret	0	"Jean-Paul Jauffret (born August 22, 1930, in Bordeaux) is a French businessman, politician and tennis player."
War	french and indian war	1	"During the French and Indian War, Killbuck had assisted the English against their French enemy. In 1761, Killbuck led an English supply train from Fort Pitt to Fort Sandusky. When The American Revolution began, Killbuck found his people caught between the English in the West and the Americans in the East. At the war's beginning, Killbuck and many Lenape claimed to be neutral. In 1778, Killbuck permitted American soldiers to traverse Delaware territory so that the soldiers could attack Fort Detroit. In return, Killbuck requested that the Americans build a fort near the Natives' major village of Coshocton to provide the Delaware with protection from English attacks. The Americans agreed and built Fort Laurens, which they garrisoned."
War	coshocton	0	"During the French and Indian War, Killbuck had assisted the English against their French enemy. In 1761, Killbuck led an English supply train from Fort Pitt to Fort Sandusky. When The American Revolution began, Killbuck found his people caught between the English in the West and the Americans in the East. At the war's beginning, Killbuck and many Lenape claimed to be neutral. In 1778, Killbuck permitted American soldiers to traverse Delaware territory so that the soldiers could attack Fort Detroit. In return, Killbuck requested that the Americans build a fort near the Natives' major village of Coshocton to provide the Delaware with protection from English attacks. The Americans agreed and built Fort Laurens, which they garrisoned."
Album	10 years hence	1	10 Years Hence is a live album by multi-instrumentalist Yusef Lateef recorded in 1974 at Keystone Korner in San Francisco and released on the Atlantic label.
Album	yusef lateef	0	10 Years Hence is a live album by multi-instrumentalist Yusef Lateef recorded in 1974 at Keystone Korner in San Francisco and released on the Atlantic label.
Composer	chick corea	1	"Carlton Schroeder is an American jazz pianist who was an accompanist to Sarah Vaughan in the 1960s and 1970s. Schroeder taught at the Musician's Institute in Los Angeles, California from the 1980s until his retirement in 2015. Schroeder has also played with the likes of Art Blakey, Roy Haynes, Joe Henderson, Michael Brecker and Chick Corea."
Composer	michael brecker	0	"Carlton Schroeder is an American jazz pianist who was an accompanist to Sarah Vaughan in the 1960s and 1970s. Schroeder taught at the Musician's Institute in Los Angeles, California from the 1980s until his retirement in 2015. Schroeder has also played with the likes of Art Blakey, Roy Haynes, Joe Henderson, Michael Brecker and Chick Corea."
Disease_or_disorder	aura	1	"Zolmitriptan, sold under the brand name Zomig among others, is a triptan used in the acute treatment of migraine attacks with or without aura and cluster headaches. It is a selective serotonin receptor agonist of the 1B and 1D subtypes."
Disease_or_disorder	zolmitriptan	0	"Zolmitriptan, sold under the brand name Zomig among others, is a triptan used in the acute treatment of migraine attacks with or without aura and cluster headaches. It is a selective serotonin receptor agonist of the 1B and 1D subtypes."
Mean_of_transportation	honda crossroad	1	"Problems had emerged regarding the marketing of the Crossroad in Japan. For instance, Honda had threatened to end ties with Rover after the news that it was going to be sold to BMW."
Mean_of_transportation	honda	0	"Problems had emerged regarding the marketing of the Crossroad in Japan. For instance, Honda had threatened to end ties with Rover after the news that it was going to be sold to BMW."
Political_party	people's war group	1	"Roopesh planned to continue the CPI-Maoist goals with the new 'democratic revolution', which is really just to show how they are against the ideas of imperialism, feudalism, and comprador bureaucratic capitalism. As the CPI was formed after the merger of the People's War Group and the Maoist Communist Centre of India, Roopesh had a lot to act with behind his back, as they brought fear to the ruling class in what they were putting together. They want to carry out this revolution with violence by making big statements and big acts. They have already killed many innocent people in India and still are."
Political_party	maoist	0	"Roopesh planned to continue the CPI-Maoist goals with the new 'democratic revolution', which is really just to show how they are against the ideas of imperialism, feudalism, and comprador bureaucratic capitalism. As the CPI was formed after the merger of the People's War Group and the Maoist Communist Centre of India, Roopesh had a lot to act with behind his back, as they brought fear to the ruling class in what they were putting together. They want to carry out this revolution with violence by making big statements and big acts. They have already killed many innocent people in India and still are."
